shot_type_id,shot_type,shot_type_short,description,difficulty_rating,avg_sh_pct,is_one_timer
1,Wrist,WR,Wrist shot,2,10.0,False
2,Slap,SL,Slap shot,3,8.0,False
3,Snap,SN,Snap shot,2,9.0,False
4,Backhand,BH,Backhand shot,3,8.0,False
5,Tip,TIP,Tip or deflection,4,12.0,False
6,WrapAround,WRP,Wrap around,4,5.0,False
7,Bat,BAT,Batted puck,5,15.0,False
8,Poke,POK,Poke shot,3,7.0,False
9,Cradle,CRD,Cradled shot,4,10.0,False
10,BetweenLegs,BTL,Between legs,5,8.0,False
11,OneTimer,1T,One-timer shot,3,12.0,True
12,Dumpin,DMP,Dump-in shot,1,2.0,False
13,Deflection,DEF,Deflection,4,11.0,False
14,Other,OTH,Other shot type,2,8.0,False
