net_location_id,net_location_code,net_location_name,net_location_short,vertical_zone,horizontal_zone,description,difficulty_score,goalie_weakness_common,x_min,x_max,y_min,y_max,display_order
1,5H,5-Hole,5H,Low,Center,Between goalie's legs,3,True,-0.5,0.5,0.0,0.5,1
2,GL,Glove Low,GL,Low,Glove,Low glove side,2,False,-3.0,-0.5,0.0,1.5,2
3,GH,Glove High,GH,High,Glove,High glove side (top corner),4,True,-3.0,-0.5,2.5,4.0,3
4,GM,Glove Mid,GM,Mid,Glove,Middle glove side,2,False,-3.0,-0.5,1.5,2.5,4
5,BL,Blocker Low,BL,Low,Blocker,Low blocker side,2,False,0.5,3.0,0.0,1.5,5
6,BH,Blocker High,BH,High,Blocker,High blocker side (top corner),4,False,0.5,3.0,2.5,4.0,6
7,BM,Blocker Mid,BM,Mid,Blocker,Middle blocker side,2,False,0.5,3.0,1.5,2.5,7
8,TM,Top Middle,TM,High,Center,Top center (over shoulder),5,False,-0.5,0.5,3.0,4.0,8
9,LM,Low Middle,LM,Low,Center,Low center (along ice),2,False,-0.5,0.5,0.0,0.5,9
10,BODY,Body,BODY,Mid,Center,Center mass of goalie,1,False,-1.0,1.0,1.0,2.5,10
11,PAD_L,Pad Left,PAD_L,Low,Glove,Left leg pad,1,False,-2.0,-0.5,0.0,1.0,11
12,PAD_R,Pad Right,PAD_R,Low,Blocker,Right leg pad,1,False,0.5,2.0,0.0,1.0,12
13,POST_G,Post Glove,POST_G,Low,Glove,Short side glove post,3,True,-3.0,-2.5,0.0,1.0,13
14,POST_B,Post Blocker,POST_B,Low,Blocker,Short side blocker post,3,False,2.5,3.0,0.0,1.0,14
15,CROSSBAR,Crossbar,XBAR,High,Center,Under crossbar,5,False,-2.0,2.0,3.5,4.0,15
