game_id,player_id,skill_rating
10001,P100250,4
10001,P100201,5
10001,P100102,3
10001,P100026,6
10001,P100219,3
10001,P100132,4
10001,P100064,3
10001,P100277,4
10001,P100113,4
10001,P100321,5
10001,P100078,5
10001,P100068,3
10001,P100241,5
10001,P100240,3
10001,P100243,2
10001,P100237,4
10001,P100062,5
10001,P100065,4
10001,P100061,3
10001,P100057,4
10001,P100020,5
10001,P100072,2
10001,P100074,4
10002,P100092,3
10002,P100238,4
10002,P100030,5
10002,P100029,3
10002,P100027,2
10002,P100028,5
10002,P100018,5
10002,P100025,4
10002,P100041,6
10002,P100067,5
10002,P100099,4
10002,P100098,4
10002,P100071,3
10002,P100023,4
10002,P100201,5
10002,P100247,2
10002,P100102,3
10002,P100015,2
10002,P100219,3
10002,P100132,4
10002,P100133,3
10002,P100064,3
10002,P100142,4
10002,P100277,4
10002,P100139,5
10003,P100206,4
10003,P100024,3
10003,P100012,3
10003,P100014,3
10003,P100001,6
10003,P100089,4
10003,P100005,2
10003,P100039,2
10003,P100138,3
10003,P100006,4
10003,P100007,5
10003,P100010,4
10003,P100262,5
10003,P100103,3
10003,P100201,5
10003,P100247,2
10003,P100102,3
10003,P100015,2
10003,P100219,3
10003,P100132,4
10003,P100133,3
10003,P100139,5
10003,P100277,4
10004,P100266,3
10004,P100279,2
10004,P100242,5
10004,P100247,2
10004,P100036,3
10004,P100219,3
10004,P100295,3
10004,P100297,5
10004,P100268,3
10004,P100142,4
10004,P100132,4
10004,P100235,5
10004,P100015,2
10004,P100057,4
10004,P100083,5
10004,P100130,2
10004,P100042,5
10004,P100264,3
10004,P100135,5
10004,P100133,3
10004,P100110,2
10004,P100260,2
10004,P100116,4
10004,P100131,5
10004,P100125,3
10004,P100316,3
10005,P100083,5
10005,P100042,5
10005,P100264,3
10005,P100135,5
10005,P100133,3
10005,P100260,2
10005,P100116,4
10005,P100017,5
10005,P100316,3
10005,P100006,4
10005,P100206,4
10005,P100227,2
10005,P100012,3
10005,P100010,4
10005,P100244,4
10005,P100271,3
10005,P100024,3
10005,P100014,3
10005,P100259,5
10005,P100038,3
10005,P100049,3
10005,P100309,2
10005,P100311,2
10005,P100246,6
10005,P100001,6
10006,P100083,5
10006,P100130,2
10006,P100042,5
10006,P100264,3
10006,P100135,5
10006,P100133,3
10006,P100260,2
10006,P100116,4
10006,P100125,3
10006,P100017,5
10006,P100316,3
10006,P100165,2
10006,P100040,4
10006,P100106,4
10006,P100037,5
10006,P100325,3
10006,P100097,3
10006,P100086,4
10006,P100081,3
10006,P100100,4
10006,P100308,4
10006,P100292,6
10006,P100088,5
10007,P100006,4
10007,P100206,4
10007,P100227,2
10007,P100012,3
10007,P100010,4
10007,P100244,4
10007,P100271,3
10007,P100024,3
10007,P100014,3
10007,P100259,5
10007,P100038,3
10007,P100049,3
10007,P100309,2
10007,P100246,6
10007,P100001,6
10007,P100083,5
10007,P100042,5
10007,P100264,3
10007,P100135,5
10007,P100133,3
10007,P100110,2
10007,P100260,2
10007,P100116,4
10007,P100112,4
10007,P100114,3
10007,P100131,5
10007,P100017,5
10007,P100121,4
10008,P100057,4
10008,P100083,5
10008,P100042,5
10008,P100264,3
10008,P100135,5
10008,P100133,3
10008,P100260,2
10008,P100116,4
10008,P100112,4
10008,P100114,3
10008,P100125,3
10008,P100017,5
10008,P100121,4
10008,P100275,5
10008,P100280,2
10008,P100055,4
10008,P100284,6
10008,P100272,3
10008,P100257,5
10008,P100030,5
10008,P100270,5
10008,P100298,4
10008,P100087,4
10008,P100027,2
10008,P100304,3
10008,P100267,3
10008,P100029,3
10008,P100138,3
10008,P100044,5
10009,P100239,5
10009,P100283,4
10009,P100286,4
10009,P100056,4
10009,P100101,3
10009,P100113,4
10009,P100258,5
10009,P100120,4
10009,P100050,4
10009,P100305,3
10009,P100126,2
10009,P100312,3
10009,P100109,5
10009,P100313,4
10009,P100048,2
10009,P100067,5
10009,P100130,2
10009,P100042,5
10009,P100133,3
10009,P100110,2
10009,P100260,2
10009,P100116,4
10009,P100112,4
10009,P100114,3
10009,P100131,5
10009,P100125,3
10009,P100017,5
10009,P100316,3
10010,P100264,3
10010,P100260,2
10010,P100199,5
10010,P100032,5
10010,P100114,3
10010,P100017,5
10010,P100131,5
10010,P100121,4
10010,P100067,5
10010,P100251,4
10010,P100201,5
10010,P100109,5
10010,P100050,4
10010,P100239,5
10010,P100236,6
10010,P100271,3
10010,P100036,3
10010,P100126,2
10010,P100258,5
10010,P100127,2
10010,P100120,4
10010,P100101,3
10010,P100016,5
10011,P100259,5
10011,P100206,4
10011,P100024,3
10011,P100012,3
10011,P100249,5
10011,P100049,3
10011,P100014,3
10011,P100001,6
10011,P100089,4
10011,P100132,4
10011,P100057,4
10011,P100039,2
10011,P100118,5
10011,P100006,4
10011,P100248,3
10011,P100110,2
10011,P100264,3
10011,P100260,2
10011,P100130,2
10011,P100199,5
10011,P100042,5
10011,P100032,5
10011,P100114,3
10011,P100017,5
10011,P100125,3
10011,P100131,5
10011,P100121,4
10011,P100067,5
10011,P100251,4
10011,P100201,5
10012,P100254,6
10012,P100219,3
10012,P100247,2
10012,P100242,5
10012,P100265,5
10012,P100078,5
10012,P100250,4
10012,P100113,4
10012,P100252,3
10012,P100142,4
10012,P100133,3
10012,P100264,3
10012,P100260,2
10012,P100130,2
10012,P100199,5
10012,P100042,5
10012,P100032,5
10012,P100017,5
10012,P100125,3
10012,P100131,5
10012,P100121,4
10012,P100251,4
10012,P100201,5
10012,P100165,2
10013,P100135,5
10013,P100257,5
10013,P100030,5
10013,P100267,3
10013,P100029,3
10013,P100027,2
10013,P100028,5
10013,P100165,2
10013,P100116,4
10013,P100107,3
10013,P100272,3
10013,P100018,5
10013,P100138,3
10013,P100044,5
10013,P100110,2
10013,P100264,3
10013,P100260,2
10013,P100130,2
10013,P100199,5
10013,P100042,5
10013,P100032,5
10013,P100114,3
10013,P100017,5
10013,P100131,5
10013,P100121,4
10013,P100251,4
10013,P100201,5
10013,P100133,3
10014,P100110,2
10014,P100109,5
10014,P100130,2
10014,P100112,4
10014,P100042,5
10014,P100008,4
10014,P100114,3
10014,P100017,5
10014,P100125,3
10014,P100131,5
10014,P100121,4
10014,P100003,5
10014,P100199,5
10014,P100093,3
10014,P100066,6
10014,P100251,4
10014,P100063,3
10014,P100037,5
10014,P100040,4
10014,P100084,6
10014,P100100,4
10014,P100086,4
10014,P100096,4
10014,P100081,3
10014,P100035,4
10014,P100290,5
10014,P100123,4
10014,P100272,3
10014,P100055,4
10015,P100052,4
10015,P100060,2
10015,P100058,3
10015,P100082,6
10015,P100051,5
10015,P100118,5
10015,P100059,3
10015,P100107,3
10015,P100080,2
10015,P100073,3
10015,P100053,5
10015,P100056,4
10015,P100110,2
10015,P100109,5
10015,P100130,2
10015,P100112,4
10015,P100008,4
10015,P100114,3
10015,P100017,5
10015,P100131,5
